"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12792","Seth DeValve","FA","TE",27,4,"TE","weighted",16.5972602739726,79,0.347311092953827,14.6371103705615,6.2,24.8394090909091,8,-77.8209304770332,376,-75.197,354,-85.8239098301347,389
"12800","Trevor Davis","FA","WR",27,4,"WR","weighted",5.983,178,0.0724999999999998,NA,5.983,5.983,19,-120.642310312857,572,-100.583666666667,542,-135.925774237032,566
"12801","Tyreek Hill","KCC","WR",26,4,"WR","weighted",191.746425155494,3,10.8286489879359,17.9915579500896,167.4,214.236565836299,2,65.1211148426371,24,60.8333333333333,25,72.3277915992667,26
"12806","Andy Janovich","CLE","RB",27,4,"RB","weighted",22.4014903129657,105,0.125326144571709,16.8291413922398,10.2,31.6788081395349,14,-92.4143706879017,454,-88.4466666666667,443,-105.590314407093,452
"12814","Jakeem Grant","MIA","WR",28,4,"WR","weighted",51.2369423031189,100,0.513077540226462,24.0228241239016,14.2,65.945525,14,-75.3883680097384,363,-92.3666666666667,465,-75.9632492370322,356
"12815","Nate Sudfeld","PHI","QB",27,4,"QB","weighted",0.12,78,0.0693999999999999,Inf,0.12,0.12,16,-264.715115172289,665,-243.653333333333,635,-296.614678743965,668
"12823","Derek Watt","PIT","RB",28,4,"RB","weighted",5.4133405238829,134,0.224852080123267,5.71978675301798,1.4,8.67381972049689,17,-109.402520476985,513,-97.2466666666667,500,-128.595302826131,525
"12824","Cody Core","NYG","WR",26,4,"WR","weighted",11.9633523537803,157,0.344836789577977,9.75453804646842,4.505,17.0242354881266,18,-114.661957959077,546,-102.061666666667,554,-124.884538748906,511
"12845","Dwayne Washington","NOS","RB",26,4,"RB","weighted",5.61094298921418,133,0.206284283513097,2.83479108577687,3.591,7.20216498470948,17,-109.204918011653,512,-95.0556666666667,475,-130.066957561919,531
"12857","DeAndre Washington","FA","RB",27,4,"RB","weighted",54.7506849315069,72,0.99037828799969,0.212132034355962,54.6,54.8701363636364,11,-60.0651760693606,304,-44.0466666666667,240,-82.3989861829918,377
